evo_line,phage,rep,sp,time,type,cfus,logcfus,res
PP,Y,1,P,T2,mono,16000000,7.204119983,0.25
PP,Y,2,P,T2,mono,11333333.33,7.054357662,0
PP,Y,3,P,T2,mono,11333333.33,7.054357662,0.166666667
PP,Y,4,P,T2,mono,38666666.66,7.587336734,0
PP,Y,5,P,T2,mono,13333333.33,7.124938737,0
PP,Y,6,P,T2,mono,11333333.33,7.054357662,0
CP,Y,1,P,T2,comm,12666666.67,7.102662342,0
CP,Y,2,P,T2,comm,12000000,7.079181246,0
CP,Y,3,P,T2,comm,24000000,7.380211242,0
CP,Y,4,P,T2,comm,24666666.66,7.392110465,0
CP,Y,5,P,T2,comm,11333333.33,7.054357662,0
CP,Y,6,P,T2,comm,16000000,7.204119983,0
CP,Y,1,V,T2,comm,78666666.66,7.895790748,1
CP,Y,2,V,T2,comm,79333333.33,7.899455702,0.916666667
CP,Y,3,V,T2,comm,114666666.7,8.059437188,0.583333333
CP,Y,4,V,T2,comm,101333333.3,8.005752329,1
CP,Y,5,V,T2,comm,24000000,7.380211242,0.916666667
CP,Y,6,V,T2,comm,89333333.32,7.951013539,1
CP,Y,1,O,T2,comm,133333333.3,8.124938737,0
CP,Y,2,O,T2,comm,86666666.66,7.937852093,0
CP,Y,3,O,T2,comm,9999999.999,7,0
CP,Y,4,O,T2,comm,99333333.32,7.997095009,NA
CP,Y,5,O,T2,comm,82666666.66,7.917330426,0
CP,Y,6,O,T2,comm,28000000,7.447158031,0
VP,Y,1,V,T2,mono,69333333.33,7.84094208,1
VP,Y,2,V,T2,mono,36666666.66,7.56427143,1
VP,Y,3,V,T2,mono,15333333.33,7.185636577,1
VP,Y,4,V,T2,mono,6666666.666,6.823908741,1
VP,Y,5,V,T2,mono,24000000,7.380211242,1
VP,Y,6,V,T2,mono,44000000,7.643452676,1
OP,Y,1,O,T2,mono,185333333.3,8.267953537,1
OP,Y,2,O,T2,mono,298666666.6,8.475186755,1
OP,Y,3,O,T2,mono,332666666.6,8.522009287,1
OP,Y,4,O,T2,mono,444000000,8.64738297,0.25
OP,Y,5,O,T2,mono,236000000,8.372912003,0
OP,Y,6,O,T2,mono,238666666.6,8.377791768,0