bact,time,cond,rep,phage,susc,total
p,T2,mono,1,anc,9,12
p,T2,mono,2,anc,12,12
p,T2,mono,3,anc,10,12
p,T2,mono,4,anc,12,12
p,T2,mono,5,anc,12,12
p,T2,mono,6,anc,12,12
o,T2,mono,1,anc,0,12
o,T2,mono,2,anc,0,12
o,T2,mono,3,anc,0,12
o,T2,mono,4,anc,9,12
o,T2,mono,5,anc,12,12
o,T2,mono,6,anc,12,12
o,T4,mono,1,anc,8,12
o,T4,mono,2,anc,11,12
o,T4,mono,3,anc,10,12
o,T4,mono,4,anc,6,12
o,T4,mono,5,anc,11,12
o,T4,mono,6,anc,8,12
o,T6,mono,1,anc,1,12
o,T6,mono,2,anc,6,12
o,T6,mono,3,anc,7,12
o,T6,mono,4,anc,6,12
o,T6,mono,5,anc,8,12
o,T6,mono,6,anc,5,12
o,T2,mono,1,T2,6,12
o,T2,mono,2,T2,12,12
o,T2,mono,3,T2,10,12
o,T2,mono,4,T2,11,12
o,T2,mono,5,T2,8,12
o,T2,mono,6,T2,7,12
o,T4,mono,1,T2,8,12
o,T4,mono,2,T2,12,12
o,T4,mono,3,T2,10,12
o,T4,mono,4,T2,10,12
o,T4,mono,5,T2,10,12
o,T4,mono,6,T2,11,12
o,T6,mono,1,T2,10,12
o,T6,mono,2,T2,10,12
o,T6,mono,3,T2,11,12
o,T6,mono,4,T2,5,12
o,T6,mono,5,T2,9,12
o,T6,mono,6,T2,10,12
o,T2,mono,1,T4,12,12
o,T2,mono,2,T4,9,12
o,T2,mono,3,T4,12,12
o,T2,mono,4,T4,2,12
o,T2,mono,5,T4,11,12
o,T2,mono,6,T4,4,12
o,T4,mono,1,T4,11,12
o,T4,mono,2,T4,12,12
o,T4,mono,3,T4,11,12
o,T4,mono,4,T4,10,12
o,T4,mono,5,T4,12,12
o,T4,mono,6,T4,10,12
o,T6,mono,1,T4,11,12
o,T6,mono,2,T4,12,12
o,T6,mono,3,T4,4,12
o,T6,mono,4,T4,12,12
o,T6,mono,5,T4,11,12
o,T6,mono,6,T4,12,12
o,T2,mono,1,T6,12,12
o,T2,mono,2,T6,12,12
o,T2,mono,3,T6,12,12
o,T2,mono,4,T6,12,12
o,T2,mono,5,T6,11,12
o,T2,mono,6,T6,12,12
o,T4,mono,1,T6,12,12
o,T4,mono,2,T6,12,12
o,T4,mono,3,T6,12,12
o,T4,mono,4,T6,12,12
o,T4,mono,5,T6,12,12
o,T4,mono,6,T6,12,12
o,T6,mono,1,T6,9,12
o,T6,mono,2,T6,12,12
o,T6,mono,3,T6,12,12
o,T6,mono,4,T6,NA,12
o,T6,mono,5,T6,8,9
o,T6,mono,6,T6,12,12
o,T2,comm,1,anc,12,12
o,T2,comm,2,anc,12,12
o,T2,comm,3,anc,12,12
o,T2,comm,4,anc,NA,12
o,T2,comm,5,anc,12,12
o,T2,comm,6,anc,12,12
o,T4,comm,1,anc,12,12
o,T4,comm,2,anc,12,12
o,T4,comm,3,anc,12,12
o,T4,comm,4,anc,12,12
o,T4,comm,5,anc,12,12
o,T4,comm,6,anc,12,12
o,T6,comm,1,anc,12,12
o,T6,comm,2,anc,NA,12
o,T6,comm,3,anc,11,12
o,T6,comm,4,anc,11,11
o,T6,comm,5,anc,11,12
o,T6,comm,6,anc,NA,NA
o,T2,comm,1,T2,12,12
o,T2,comm,2,T2,12,12
o,T2,comm,3,T2,12,12
o,T2,comm,4,T2,12,12
o,T2,comm,5,T2,12,12
o,T2,comm,6,T2,12,12
o,T4,comm,1,T2,12,12
o,T4,comm,2,T2,NA,12
o,T4,comm,3,T2,11,12
o,T4,comm,4,T2,10,10
o,T4,comm,5,T2,12,12
o,T4,comm,6,T2,12,12
o,T6,comm,1,T2,12,12
o,T6,comm,2,T2,12,12
o,T6,comm,3,T2,12,12
o,T6,comm,4,T2,12,12
o,T6,comm,5,T2,12,12
o,T6,comm,6,T2,12,12
o,T2,comm,1,T4,12,12
o,T2,comm,2,T4,12,12
o,T2,comm,3,T4,11,12
o,T2,comm,4,T4,12,12
o,T2,comm,5,T4,12,12
o,T2,comm,6,T4,12,12
o,T4,comm,1,T4,12,12
o,T4,comm,2,T4,12,12
o,T4,comm,3,T4,12,12
o,T4,comm,4,T4,12,12
o,T4,comm,5,T4,12,12
o,T4,comm,6,T4,12,12
o,T6,comm,1,T4,12,12
o,T6,comm,2,T4,NA,12
o,T6,comm,3,T4,11,12
o,T6,comm,4,T4,10,10
o,T6,comm,5,T4,12,12
o,T6,comm,6,T4,12,12
o,T2,comm,1,T6,12,12
o,T2,comm,2,T6,12,12
o,T2,comm,3,T6,12,12
o,T2,comm,4,T6,12,12
o,T2,comm,5,T6,12,12
o,T2,comm,6,T6,12,12
o,T4,comm,1,T6,12,12
o,T4,comm,2,T6,12,12
o,T4,comm,3,T6,11,12
o,T4,comm,4,T6,12,12
o,T4,comm,5,T6,12,12
o,T4,comm,6,T6,12,12
o,T6,comm,1,T6,12,12
o,T6,comm,2,T6,NA,12
o,T6,comm,3,T6,12,12
o,T6,comm,4,T6,10,10
o,T6,comm,5,T6,12,12
o,T6,comm,6,T6,12,12
v,T2,mono,1,anc,0,12
v,T2,mono,2,anc,0,12
v,T2,mono,3,anc,0,12
v,T2,mono,4,anc,0,12
v,T2,mono,5,anc,0,12
v,T2,mono,6,anc,0,12
v,T2,comm,1,anc,0,12
v,T2,comm,2,anc,1,12
v,T2,comm,3,anc,5,12
v,T2,comm,4,anc,0,12
v,T2,comm,5,anc,1,12
v,T2,comm,6,anc,0,12
p,T2,comm,1,anc,12,12
p,T2,comm,2,anc,12,12
p,T2,comm,3,anc,12,12
p,T2,comm,4,anc,12,12
p,T2,comm,5,anc,12,12
p,T2,comm,6,anc,12,12